,Marca temporal,ID,EMOCIÓN EXPERIMENTAL (ORDEN),Emoción 1: ¿Qué emoción has sentido durante el vídeo?,"Emoción 1: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 1: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 1: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 1: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 1: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 1: ¿Habías visto la película anteriormente?,"Emoción 1: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?",Emoción 2: ¿Qué emoción has sentido durante el vídeo?,"Emoción 2: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 2: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 2: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 2: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 2: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 2: ¿Habías visto la película anteriormente?,Emoción 3: ¿Qué emoción has sentido durante el vídeo?,"Emoción 3: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 3: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 3: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 3: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 3: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 3: ¿Habías visto la película anteriormente?,Emoción 4: ¿Qué emoción has sentido durante el vídeo?,"Emoción 4: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 4: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 4: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 4: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 4: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 4: ¿Habías visto la película anteriormente?,TomaDecisiónFinal: ¿Qué probabilidad tendría de BEBER MUCHO EN UNA REUNIÓN SOCIAL? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de TENER RELACIONES SEXUALES SIN PROTECCIÓN? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de CONDUCIR UNA MOTOCICLETA SIN CASCO? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de TOMAR EL SOL SIN PROTECCIÓN SOLAR? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de CAMINAR SOLA/O A CASA POR LA NOCHE EN UNA ZONA INSEGURA DE LA CIUDAD? ,"TomaDecisiónFinal: Para terminar: EN GENERAL, EN SU DÍA A DÍA ¿En qué medida considera que sus emociones influyen en su toma de decisiones importantes en su vida? ","Emoción 2: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?","Emoción 3: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?","Emoción 4: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?"
0,21/06/2021 11:24:50,39,1,5,,3,6,3,1,1,2,2,La que más ha sentido es rabia ,1,3,4,2,2,3,,1,5,7,1,2,1,,7,8,7,2,2,4,3,1,2,4,4,0,0,0
1,21/06/2021 12:14:01,40,1,6,,2,1,1,2,2,0,2,rabia más que tristeza ,6,6,5,2,2,2,,7,8,6,2,2,1,,8,6,7,2,2,4,1,3,3,4,4,0,0,0
2,21/06/2021 12:50:56,2,1,4,"poco miedo, neutro",4,5,1,2,2,0,2,Un poco de miedo (poco),2,7,2,1,2,5,no ha sentido ira (evaluar en general),1,1,1,2,2,1,,8,7,2,2,1,4,2,1,2,3,3,0,0,0
3,21/06/2021 15:44:34,68,2,5,Alivio,7,1,1,2,2,0,2,,1,7,7,1,2,3,predomia asco,1,9,9,2,2,4,,1,9,9,1,1,1,1,1,1,1,4,0,0,1
4,21/06/2021 16:39:21,81,2,1,,6,6,5,2,2,0,2,Angustia ,3,7,6,1,2,2,,2,7,7,1,1,3,,2,7,6,1,2,1,1,2,4,1,3,0,3,0
5,21/06/2021 17:34:44,77,2,1,"Alivio, emociones positivas",9,6,3,2,1,3,2,"tristeza apenas no , ms nerviosismo y las otras dos",1,6,6,1,2,3,NERVIOSISMO,1,7,7,2,1,4,,3,3,4,1,1,1,1,1,1,1,4,0,2,3
6,21/06/2021 18:41:49,106,2,1,,8,7,5,2,1,2,2,,1,7,6,0,2,2,Predominaba asco ,1,6,7,2,2,4,MIEDO PUNTUAL (PELÍCULA VIEJA)/ GRACIOSA,1,8,7,1,2,1,1,1,3,2,4,0,0,0
7,23/06/2021 10:43:47,103,1,5,susto,1,1,1,2,2,0,2,menos enfado que tristeza ,5,7,6,0,2,2,triteza poco ,3,8,8,1,2,1,MÁS ALEGRÍA ,9,7,6,1,2,3,1,2,3,3,2,0,0,0
8,23/06/2021 11:31:52,117,1,2,nerviosismo. Emoción predominante tensión (miedo no),3,7,4,1,2,0,2,"pena, al principio alegre pero luego tristeza ",1,8,7,1,2,3,,1,9,8,2,2,1,mayoritariamente alegría ,9,9,8,2,2,5,4,1,4,5,4,0,0,0
9,23/06/2021 15:42:07,1,2,1,ESPERANZA,8,7,5,2,2,0,2,Más ira que tristeza,1,8,6,1,1,3,,1,8,8,2,2,4,,1,9,7,1,1,1,1,1,2,1,5,3,0,3
10,23/06/2021 16:48:10,25,2,1,,7,8,9,2,2,0,2,,1,9,9,1,2,2,,1,5,4,1,2,4,,3,6,6,2,2,1,1,1,2,1,5,0,0,0
11,23/06/2021 17:45:32,47,2,9,"El película conocerla previamente le genera rechazo y no le permite sentir alegría. Nos centramos en el rechazo, el vído no le ha resultado placentero. el paisaje al pirncipio le ha genrao alegría / calma la segunda parte rechazo porque conocía la película",1,8,5,0,1,2,1,Alegría al principio pero ha predominado la tristeza ,1,7,7,1,2,2,Predomina rabia,1,9,9,1,1,9,EMOCIÓN NEGATIVA (no miedo porque es consceinte,1,5,1,2,2,1,1,1,1,5,5,0,3,0
12,24/06/2021 16:42:45,4,2,1,"al principio desesperanza, predomina alegría ",7,5,4,2,2,0,2,"enfado, también tristeza. ",1,8,6,1,2,3,,1,8,8,1,1,4,estrés tmabién ,1,7,8,1,2,1,1,1,1,1,3,0,1,0
13,24/06/2021 17:47:56,24,2,1,tristeza ha predominado más. ,7,7,4,2,2,0,1,al principio sólo alegría luego tristeza. ,1,6,5,1,2,3,,1,8,8,2,2,4,,1,3,3,1,2,1,1,3,3,1,4,0,0,0
14,24/06/2021 18:39:35,36,2,1,esperanza. alegría depende cuando (al medio) al principio y final tristeza,5,4,5,2,2,0,2,,1,7,7,1,2,3,predomina rabia,1,6,5,0,2,5,indiferencia durante el vídeo. Ya lo había visto. ,3,2,1,1,1,2,1,3,3,4,4,0,0,2
15,25/06/2021 9:44:15,12,1,4,"susto, tensión, intriga, inseguridad. ",1,7,8,1,2,0,2,"injusticia, y tristeza. ",1,8,9,1,2,3,sentimiento de injustia,1,9,9,2,1,1,"Tranquilidad paisaje, felicidad y libertad. ",9,9,5,2,2,3,3,1,1,5,5,0,3,0
